Field1,title,rating,reviews_number,Brand,Model,Screen_size,Color,Refresh_rate,Weight,Dimensions,Date,ASIN
"DELL UltraSharp U3219Q LED Display 80 cm (31.5"") 3840 x 2160 Pixel 4K Ultra HD Opaco Nero, Argento  4.6 out of 5 stars 170","DELL UltraSharp U3219Q LED Display 80 cm (31.5"") 3840 x 2160 Pixel 4K Ultra HD Opaco Nero, Argento",4.6 out of 5 stars,170,Dell,,,,60 Hz,,,,
"Elo E000444 4243L 42'' 1080p Full HD LED-Backlit LCD Touchscreen Monitor, Black
4.3 out of 5 stars
 5
$2,324.47
$2,324
.
47
Get it Wed, Jan 19 - Thu, Jan 27
More Buying Choices
$2,029.11(3 new offers)","Elo E000444 4243L 42'' 1080p Full HD LED-Backlit LCD Touchscreen Monitor, Black",4.3 out of 5 stars,5,4 Hz,,,,Personal,,,,
"SAMSUNG 49"" Odyssey Neo G9 G95NA Gaming Monitor, 4K UHD Mini LED Display, Curved Screen, 240Hz, 1ms, G-Sync and FreeSync Premium Pro, LS49AG952NNXZA, White
4.4 out of 5 stars
 3,981
$2,154.41
$2,154
.
41 
$2,499.99
$2,499.99
Only 1 left in stock - order soon.","SAMSUNG 49"" Odyssey Neo G9 G95NA Gaming Monitor, 4K UHD Mini LED Display, Curved Screen, 240Hz, 1ms, G-Sync and FreeSync Premium Pro, LS49AG952NNXZA, White",4.4 out of 5 stars,"3,981",SAMSUNG,ýG95,ý49 Inches,ý16.5 x 45.3 x 21.1 inches,240 Hz,ýLS49AG952NNXZA,ý32 pounds,,ýB096YNP6ZR
"Monitor 27"" LED 90LM02N0-B01370 2560 x 1440 Tempo di Risposta 1 ms
4.3 out of 5 stars
 49
$1,218.00
$1,218
.
00","Monitor 27"" LED 90LM02N0-B01370 2560 x 1440 Tempo di Risposta 1 ms",4.3 out of 5 stars,49,27 Inches,,,,ASUS,,,,
"Fujitsu Display P27T-6 IPS 350CD/QM 178/178 6MS 20000:1, S26361-K1372-V140 (350CD/QM 178/178 6MS 20000:1)
3.3 out of 5 stars
 7
$2,080.00
$2,080
.
00
Get it Mon, Jan 24 - Wed, Feb 9","Fujitsu Display P27T-6 IPS 350CD/QM 178/178 6MS 20000:1, S26361-K1372-V140 (350CD/QM 178/178 6MS 20000:1)",3.3 out of 5 stars,7,27 Inches,,,,Fujitsu,,,,
LG Electronics N/A M3704CCBA 37-Inch Screen LCD Monitor  3.9 out of 5 stars 2,LG Electronics N/A M3704CCBA 37-Inch Screen LCD Monitor,3.9 out of 5 stars,2,60 Hz,,,,Personal,,,,
"BenQ SW321C 32” 4K IPS Photo & Video Editing Monitor w/AQCOLOR tech 99% AdobeRGB, 100% sRGB/Rec.709, 95% DCI-P3/Display P3, Hardware Calibration, Paper Color Sync, Uniformity tech, HDR, USB-C w/PD
4.0 out of 5 stars
 25
$1,999.00
$1,999
.
00
Ships to Egypt
Only 14 left in stock - order soon.","BenQ SW321C 32” 4K IPS Photo & Video Editing Monitor w/AQCOLOR tech 99% AdobeRGB, 100% sRGB/Rec.709, 95% DCI-P3/Display P3, Hardware Calibration, Paper Color Sync, Uniformity tech, HDR, USB-C w/PD",4.0 out of 5 stars,25,60 Hz,ýSW321C,ý32 Inches,ýBlack,"Video Editing, Photo Editing",ý26 pounds,ý32 x 20 x 4 inches,,ýChina
"HP Z4W65A8#ABA Z38c LED-Backlit LCD Monitor Curved 37.5"" Black (Renewed)  5.0 out of 5 stars 1","HP Z4W65A8#ABA Z38c LED-Backlit LCD Monitor Curved 37.5"" Black (Renewed)",5.0 out of 5 stars,1,37.5 Inches,,,,HP,,,,
"Acer Predator X38 Sbmiiphzx 38"" 2300R Curved UWQHD+ 3840 x 1600 IPS Gaming Monitor | NVIDIA G-SYNC Ultimate | NVIDIA Reflex Latency | Up to 175Hz | Up to 0.3ms | DCI-P3 98% | DP & 2 x HDMI 2.0
5.0 out of 5 stars
 1
$1,996.93
$1,996
.
93
Ships to Egypt
Only 10 left in stock (more on the way).","Acer Predator X38 Sbmiiphzx 38"" 2300R Curved UWQHD+ 3840 x 1600 IPS Gaming Monitor | NVIDIA G-SYNC Ultimate | NVIDIA Reflex Latency | Up to 175Hz | Up to 0.3ms | DCI-P3 98% | DP & 2 x HDMI 2.0",5.0 out of 5 stars,1,175 Hz,ýX38 Sbmiiphzx,ý37.5 Inches,ý35.3 x 12.16 x 21.5 inches,"Video Editing, Photo Editing, Gaming",ýUM.TX0AA.S01,ý34 pounds,"ýOctober 24, 2021",ýB09JCM5T3H
Dell UltraSharp 34inch Curved 90W USB-C Hub RJ45 Monitor [U3421WE]  4.6 out of 5 stars 6,Dell UltraSharp 34inch Curved 90W USB-C Hub RJ45 Monitor [U3421WE],4.6 out of 5 stars,6,85 Hz,,,,"Multimedia, Personal, Business",,,,
"ASUS ROG Swift PG43UQ 43” 4K HDR DSC Gaming Monitor, (3840 x 2160), 144Hz, G-SYNC Compatible, 1ms, Eye Care, DisplayHDR 1000, DisplayPort HDMI USB, Aura Sync  4.3 out of 5 stars 467","ASUS ROG Swift PG43UQ 43” 4K HDR DSC Gaming Monitor, (3840 x 2160), 144Hz, G-SYNC Compatible, 1ms, Eye Care, DisplayHDR 1000, DisplayPort HDMI USB, Aura Sync",4.3 out of 5 stars,467,144 Hz,ýPG43UQ,ý43 Inches,ý38.37 x 24.85 x 9.54 inches,"Multimedia, Personal, Gaming",ýPG43UQ,ý50 pounds,"ýJanuary 31, 2020",ýAsus
"AORUS FO48U 48"" 4K OLED Gaming Monitor, 3840x2160 Display, 120 Hz Refresh Rate, 1ms Response Time (GTG), 1x Display Port 1.4, 2X HDMI 2.1, 2X USB 3.0, with USB Type-C, Space Audio  4.4 out of 5 stars 672","AORUS FO48U 48"" 4K OLED Gaming Monitor, 3840x2160 Display, 120 Hz Refresh Rate, 1ms Response Time (GTG), 1x Display Port 1.4, 2X HDMI 2.1, 2X USB 3.0, with USB Type-C, Space Audio",4.4 out of 5 stars,672,Gigabyte,ýAORUS FO48U-SA,ý48 Inches,ýBLACK,120 Hz,ý45 pounds,ý42.07 x 26.58 x 9.89 inches,,"ýJune 23, 2021"
"Raritan PST12EX Purasan EX Treatment System - Pressurized Fresh Water - 12V
5.0 out of 5 stars
 2
$1,929.10
$1,929
.
10
Get it Thu, Jan 6 - Mon, Jan 24
Only 4 left in stock - order soon.",Raritan PST12EX Purasan EX Treatment System - Pressurized Fresh Water - 12V,5.0 out of 5 stars,2,Raritan,,,,Personal,,,,
"iiyama LE5540UHS-B1 54.6"" LED 4K Ultra HD Black Signage Display
4.0 out of 5 stars
 13
$1,226.00
$1,226
.
00","iiyama LE5540UHS-B1 54.6"" LED 4K Ultra HD Black Signage Display",4.0 out of 5 stars,13,54.6 Inches,,,,Iiyama,,,,
"Dell UltraSharp U4919DW 49 inch Dual QHD Curved Monitor - 8ms Response Time, 2X HDMI, 1x DP, 5X USB Downstream, 2X USB Upstream 3.0, 1 x USB Type-C  4.4 out of 5 stars 188  $1,860.65$1,860.65  Get it Wed, Jan 5 - Tue, Jan 11More Buying Choices$1,384.96(6 new offers)  Climate Pledge FriendlySee 1 certificationClimate Pledge Friendly uses sustainability certifications to highlight products that support our commitment to help preserve the natural world. Time is fleeting. Learn more PRODUCT CERTIFICATION (1)<img alt="""" src=""https://m.media-amazon.com/images/I/21OXy0oJ8VL._SS160_.png"" height=""40px"" width=""40px""/> EPEAT","Dell UltraSharp U4919DW 49 inch Dual QHD Curved Monitor - 8ms Response Time, 2X HDMI, 1x DP, 5X USB Downstream, 2X USB Upstream 3.0, 1 x USB Type-C",4.4 out of 5 stars,188,60 Hz,ýU4919DW,ý49 Inches,ýBlack,"Business, personal",ý37.9 pounds,ý47.84 x 9.94 x 18.06 inches,,ýNo
"Elo 1537L Open-Frame Touchscreen LCD Monitor - 15-Inch - Surface Acoustic Wave - 1024 x 768 - 4:3 - Steel, Black  5.0 out of 5 stars 6","Elo 1537L Open-Frame Touchscreen LCD Monitor - 15-Inch - Surface Acoustic Wave - 1024 x 768 - 4:3 - Steel, Black",5.0 out of 5 stars,6,75 Hz,ýE512043,ý15 Inches,ýSteel,Personal,ý6.61 pounds,ý1.61 x 13.23 x 10.39 inches,ýB0039XUUAA,ýElo
"Elo 1739L Open-Frame Touchscreen LCD Monitor - 17-Inch - 5-wire Resistive - 1280 x 1024 - 5:4 - Steel, Black  4.1 out of 5 stars 10","Elo 1739L Open-Frame Touchscreen LCD Monitor - 17-Inch - 5-wire Resistive - 1280 x 1024 - 5:4 - Steel, Black",4.1 out of 5 stars,10,ELO,ýE607940,ý17 Inches,ýSteel,Personal,ý8.8 pounds,ý1.93 x 14.49 x 12.05 inches,ýYes,ýEnglish
"AOC AGON Curved Gaming Monitor 49"" (AG493UCX), Dual QHD 5120x1440 @ 120Hz, VA Panel, 1ms 120Hz Adaptive-Sync, 121% sRGB, Height Adjustable, 4-Yr Zero Dead Pixels Manufacturer Guarantee  4.1 out of 5 stars 460","AOC AGON Curved Gaming Monitor 49"" (AG493UCX), Dual QHD 5120x1440 @ 120Hz, VA Panel, 1ms 120Hz Adaptive-Sync, 121% sRGB, Height Adjustable, 4-Yr Zero Dead Pixels Manufacturer Guarantee",4.1 out of 5 stars,460,120 Hz,ýAGON,ý49,ý18.4 x 47.02 x 12.13 inches,"Multimedia, Personal, Gaming",ýAG493UCX,ý47.7 pounds,,ýB07ZSGR4CH
"TDS Touch 4302D, Interactive Digital Signage,Touchscreen LED Backlight LCD Monitor, 43-inch, Wide 1920X1080 FHD 16:9, 10-Touch Pcap,USB Interface, Explosion and dust-Proof Glass, Flat Panel  5.0 out of 5 stars 1","TDS Touch 4302D, Interactive Digital Signage,Touchscreen LED Backlight LCD Monitor, 43-inch, Wide 1920X1080 FHD 16:9, 10-Touch Pcap,USB Interface, Explosion and dust-Proof Glass, Flat Panel",5.0 out of 5 stars,1,43 Inches,,,,TDS,,,,
Samsung HLT4675S 46-Inch Slim 720p DLP HDTV  3.0 out of 5 stars 27,Samsung HLT4675S 46-Inch Slim 720p DLP HDTV,3.0 out of 5 stars,27,HDMI,,,,46 Inches,,,,
"SAMSUNG 49-inch Odyssey G9 - QHD, 240hz, 1000R Curved Gaming Monitor, 1ms, NVIDIA G-SYNC & FreeSync, QLED (LC49G95TSSNXZA) (Renewed)  4.1 out of 5 stars 29","SAMSUNG 49-inch Odyssey G9 - QHD, 240hz, 1000R Curved Gaming Monitor, 1ms, NVIDIA G-SYNC & FreeSync, QLED (LC49G95TSSNXZA) (Renewed)",4.1 out of 5 stars,29,SAMSUNG,,,,240 Hz,,,,
"Evoko ERM2001 LISO Space Booking System Digital Door Sign, White
2.4 out of 5 stars
 3
$1,742.05
$1,742
.
05
Ships to Egypt
Only 1 left in stock (more on the way).
More Buying Choices
$1,649.00(4 new offers)","Evoko ERM2001 LISO Space Booking System Digital Door Sign, White",2.4 out of 5 stars,3,White,ýLiso,ý8 Inches,ý7.87 x 0.98 x 7.87 inches,Evoko,ýERM2001,ý2.86 pounds,ýNo,ýEvoko
"Newmar Batt Chgr, Phase 3, 24V 45A, 3 Bank
5.0 out of 5 stars
 1
$1,705.54
$1,705
.
54
Get it Thu, Jan 20 - Wed, Feb 9
More Buying Choices
$1,623.74(2 new offers)","Newmar Batt Chgr, Phase 3, 24V 45A, 3 Bank",5.0 out of 5 stars,1,12 x 10 x 6 inches,,ýNewmar,,Newmar,,,,
Dell UltraSharp UP2720Q 27&quot; 16:9 4K PremierColor IPS LED Monitor  5.0 out of 5 stars 2,Dell UltraSharp UP2720Q 27&quot; 16:9 4K PremierColor IPS LED Monitor,5.0 out of 5 stars,2,Dell,,,,60 Hz,,,,
"Elo Touch Systems 2242L 22"" Open-frame LCD Touchscreen Monitor - 16:10 - 5 ms E667969
5.0 out of 5 stars
 1
$1,698.00
$1,698
.
00
Get it Mon, Jan 3 - Wed, Jan 12
Only 3 left in stock - order soon.","Elo Touch Systems 2242L 22"" Open-frame LCD Touchscreen Monitor - 16:10 - 5 ms E667969",5.0 out of 5 stars,1,"Elo Touch Solutions, Inc",,,,Gaming,,,,
"LG 32UL950-W 32"" Class Ultrafine 4K UHD LED Monitor with Thunderbolt 3 Connectivity Silver (31.5"" Display)  4.4 out of 5 stars 643","LG 32UL950-W 32"" Class Ultrafine 4K UHD LED Monitor with Thunderbolt 3 Connectivity Silver (31.5"" Display)",4.4 out of 5 stars,643,60 Hz,ý32UL950-W,ý32 Inches,ýSILVER,"Personal, gaming, business",ý16.1 pounds,ý9.1 x 28.3 x 23.5 inches,,ýNo
"Elo E738607 1523L 15'' LED-Backlit LCD Monitor, Black  5.0 out of 5 stars 1","Elo E738607 1523L 15'' LED-Backlit LCD Monitor, Black",5.0 out of 5 stars,1,75 Hz,,,,Personal,,,,
"BenQ SW271C 27” 4K Photo & Video Editing Monitor | 4K UHD | IPS | 99% Adobe RGB, 100% sRGB/Rec. 709, 90% DCI-P3/Display P3 | AQCOLOR Tech | Hardware Calibration |10 bit color depth | HDR10/HLG | USB-C
5.0 out of 5 stars
 7
$1,599.99
$1,599
.
99
Ships to Egypt
Only 13 left in stock (more on the way).
More Buying Choices
$1,383.67(7 used & new offers)","BenQ SW271C 27” 4K Photo & Video Editing Monitor | 4K UHD | IPS | 99% Adobe RGB, 100% sRGB/Rec. 709, 90% DCI-P3/Display P3 | AQCOLOR Tech | Hardware Calibration |10 bit color depth | HDR10/HLG | USB-C",5.0 out of 5 stars,7,BenQ,ýSW271C,ý27,ý27.5 x 24 x 7 inches,60,ýSW271C,ý27.1 pounds,"ýMarch 16, 2021",ýB0911822LZ
"LG 38GL950G-B 38 Inch UltraGear Nano IPS 1ms Curved Gaming Monitor with 144HZ Refresh Rate and NVIDIA G-SYNC, Black  4.3 out of 5 stars 253","LG 38GL950G-B 38 Inch UltraGear Nano IPS 1ms Curved Gaming Monitor with 144HZ Refresh Rate and NVIDIA G-SYNC, Black",4.3 out of 5 stars,253,144 Hz,ý38GK950G-B,ý38 Inches,ý35.3 x 11.3 x 17.4 inches,"Personal, Gaming",ý38GL950G-B,ý22.1 pounds,"ýOctober 29, 2019",ýLG
"ViewSonic VG2765 27 Inch IPS WQHD 1440p Ergonomic Monitor with HDMI DisplayPort and Mini DisplayPort for Home and Office,Black  4.2 out of 5 stars 45","ViewSonic VG2765 27 Inch IPS WQHD 1440p Ergonomic Monitor with HDMI DisplayPort and Mini DisplayPort for Home and Office,Black",4.2 out of 5 stars,45,60 Hz,ýVG2765,ý27 Inches,ý9.19 x 24.06 x 21.26 inches,Personal,ýVG2765,ý15.84 pounds,ýNo,ýViewSonic
"Acer Predator CG437K Pbmiiippuzx 43"" 4K UHD, 120Hz(144Hz Overclock), 1ms VRB, G-Sync Compatible Gaming Monitor with VESA Certified DisplayHDR 1000 (2x DisplayPort, 3x HDMI Port & 1 USB Type-C Port)  4.0 out of 5 stars 113","Acer Predator CG437K Pbmiiippuzx 43"" 4K UHD, 120Hz(144Hz Overclock), 1ms VRB, G-Sync Compatible Gaming Monitor with VESA Certified DisplayHDR 1000 (2x DisplayPort, 3x HDMI Port & 1 USB Type-C Port)",4.0 out of 5 stars,113,144 Hz,ýCG437K Pbmiiippuzx,ý43 Inches,ý38.53 x 10.41 x 26.46 inches,"Multimedia, Gaming, Business",ýCG437K Pbmiiippuzx,ý52 pounds,"ýNovember 7, 2019",ýAcer
"Samsung Business SH850 Series 27 inch QHD 2560x1440 Desktop Monitor for Business (in Black) with USB-C, HDMI, DisplayPort, 3-Year Warranty , TAA (S27H850QFN)  4.3 out of 5 stars 260  Also available in White","Samsung Business SH850 Series 27 inch QHD 2560x1440 Desktop Monitor for Business (in Black) with USB-C, HDMI, DisplayPort, 3-Year Warranty , TAA (S27H850QFN)",4.3 out of 5 stars,260,60 Hz,ýS27H850QFN,ý23.5 Inches,ý24.1 x 9.3 x 21.4 inches,"Multimedia, Personal, Business",ýLS27H850QFNXGO,ý22.5 pounds,"ýApril 21, 2017",ýB071Y6PHY3
FUJITSU Monitor 24'' B24W-6 TFT 1920x120  4.0 out of 5 stars 1,FUJITSU Monitor 24'' B24W-6 TFT 1920x120,4.0 out of 5 stars,1,24 Inches,,,,Fujitsu,,,,
HP Z Display Z32 31.5 inch 4K UHD (3840 x 2160) WLED LCD Black Pearl (Renewed)  1.0 out of 5 stars 1,HP Z Display Z32 31.5 inch 4K UHD (3840 x 2160) WLED LCD Black Pearl (Renewed),1.0 out of 5 stars,1,HP,,,,60 Hz,,,,
"Acer Predator XB321HK bmiphz 32-inch IPS UHD (3840 x 2160) NVIDIA G-Sync Widescreen Display (2 x 2w speakers, 4- USB 3.0 Ports, HDMI & Display Port),Black  4.1 out of 5 stars 477","Acer Predator XB321HK bmiphz 32-inch IPS UHD (3840 x 2160) NVIDIA G-Sync Widescreen Display (2 x 2w speakers, 4- USB 3.0 Ports, HDMI & Display Port),Black",4.1 out of 5 stars,477,60 Hz,ýFBA_XB321HK bmiphz,ý32 Inches,ý12.2 x 29 x 17.1 inches,"Personal, gaming",ýXB321HK bmiphz,ý24.9 pounds,"ýFebruary 14, 2016",ýB01A3N60A2
"AOC AGON AG251FG 63.5 cm (25"") LCD Monitor - 16:9-1 ms - 1920 x 1080-16.7 Million Colours  4.3 out of 5 stars 28","AOC AGON AG251FG 63.5 cm (25"") LCD Monitor - 16:9-1 ms - 1920 x 1080-16.7 Million Colours",4.3 out of 5 stars,28,AOC,ýAG251FG,ý23.6 Inches,ýAOC International,60 Hz,ý14.3 pounds,ý22.32 x 21.46 x 8.58 inches,,"ýFebruary 16, 2018"
"ViewSonic VP3881 38in IPS Ultra Wide Curved Pro Monitor, HDMI, DisplayPort, USB 3.1 Type C, Hardware Calibration (Renewed)  5.0 out of 5 stars 6","ViewSonic VP3881 38in IPS Ultra Wide Curved Pro Monitor, HDMI, DisplayPort, USB 3.1 Type C, Hardware Calibration (Renewed)",5.0 out of 5 stars,6,38 Inches,,,,ViewSonic,,,,
